card_number,number_win,number_defeats,bet_value,win_value,cashout,card_type,result,bet_type,date
3,1,2,0.5,16.07,0,combo,defeats,per win,2024-08-24
5,2,3,0.5,24.10,0,combo,defeats,per win,2024-08-24
3,1,2,0.5,26.10,0,combo,defeats,per win,2024-08-24
4,3,1,0.5,1.72,0,combo,defeats,per win,2024-08-24
3,1,2,0.55,27.84,0,combo,defeats,per win,2024-08-24
2,0,2,0.5,6.82,0,combo,defeats,per win,2024-08-24
7,5,2,1.0,55.72,0,combo,defeats,per win,2024-08-24
4,0,4,1.0,38.98,0,combo,defeats,per win,2024-08-23
6,2,4,1.0,39.67,0.05,combo,defeats,per win,2024-08-23
4,1,3,2.0,12.74,0,combo,defeats,per win,2024-08-23
5,3,2,2.0,26.36,0,combo,defeats,per win,2024-08-23
2,0,2,2.81,2.40,0,combo,defeats,per win,2024-08-23
5,3,2,2.0,10.34,6.81,combo,defeats,per win,2024-08-23
4,2,2,2.02,10.83,0,combo,defeats,per win,2024-08-23
2,1,1,1.30,4.37,0,combo,defeats,per win,2024-08-23
2,1,1,1.0,12.11,1.25,combo,defeats,per win,2024-08-23
6,5,1,1.0,8.01,0,combo,defeats,per win,2024-08-23
2,2,0,1.7,3.96,6.37,combo,win,per win,2024-08-23
3,2,1,2.0,8.73,0.72,combo,defeats,per win,2024-08-23
4,3,1,2.0,41.00,0.11,combo,defeats,per win,2024-08-23
4,3,1,2.0,9.79,1.13,combo,defeats,per win,2024-08-23
3,2,1,2.0,13.43,1.61,combo,defeats,per win,2024-08-23
5,3,2,1.0,14.54,0,combo,defeats,per win,2024-08-23
5,4,1,1.0,24.30,0.22,combo,defeats,per win,2024-08-23
8,7,1,1.0,6.98,5.0,combo,defeats,per win,2024-08-23
3,3,0,1.0,3.04,1.0,combo,win,per win,2024-08-23
3,2,1,0.7,7.77,0,combo,defeats,per win,2024-08-23
4,3,1,0.5,4.62,0.20,combo,defeats,per win,2024-08-23
2,0,2,0.5,4.20,0,combo,defeats,per win,2024-08-23
2,2,0,0.54,4.22,0,combo,win,per win,2024-08-23
2,1,1,1.10,7.56,0,combo,defeats,per win,2024-08-23
3,3,0,0.5,1.08,0,combo,win,per win,2024-08-23
3,3,0,0.76,4.02,2.56,combo,defeats,per win,2024-08-23
3,2,1,0.5,13.77,0,combo,defeats,per win,2024-08-22
4,3,1,1.0,9.32,0,combo,defeats,per win,2024-08-22
3,1,2,1.0,23.76,0.5,combo,defeats,per win,2024-08-22
2,1,1,1.23,2.37,0.12,combo,defeats,per win,2024-08-22
2,2,0,0.55,1.23,0,combo,win,per win,2024-08-22
2,1,1,1.0,5.77,0,combo,defeats,per win,2024-08-22
2,1,1,0.5,19.0,0,combo,defeats,per win,2024-08-22
3,2,1,0.5,19.5,0,combo,defeats,per win,2024-08-22
3,2,1,0.5,22.04,1.6,combo,defeats,per win,2024-08-22
3,2,1,0.5,25.20,1.82,combo,defeats,per win,2024-08-22
5,5,0,0.7,3.13,0,combo,win,per win,2024-08-22
3,3,0,0.5,0.7,0,combo,win,per win,2024-08-22
5,2,3,0.63,11.31,0,combo,defeats,per win,2024-08-22
1,1,0,0.5,0.55,0,unique,win,per win,2024-08-22
3,3,0,0.5,1.24,0,combo,win,per win,2024-08-22
5,4,1,0.5,2.96,0,combo,defeats,per win,2024-08-22
4,2,2,0.5,8.94,0.34,combo,defeats,per win,2024-08-22
2,2,0,0.5,1.45,0.64,combo,win,per win,2024-08-22
3,3,0,0.5,0.85,0,combo,win,per win,2024-08-22
3,2,1,0.5,4.59,0,combo,defeats,per win,2024-08-22
5,1,4,0.5,19.78,0.08,combo,defeats,per win,2024-08-22
2,2,1,0.5,5.25,0.41,combo,defeats,per win,2024-08-22
3,1,2,0.57,10.78,0.55,combo,defeats,per win,2024-08-22
2,2,0,0.5,0.97,0,combo,win,per win,2024-08-22
3,1,2,0.5,6.0,0.5,combo,defeats,per win,2024-08-22
5,4,1,0.5,9.49,0,combo,defeats,per win,2024-08-22
3,2,1,1.0,3.81,0,combo,defeats,per win,2024-08-22
3,2,1,0.5,6.69,0,combo,defeats,per win,2024-08-22
4,3,1,1.0,16.0,0.32,combo,defeats,per win,2024-08-22
3,3,0,0.5,1.08,0,combo,win,per win,2024-08-22
3,2,1,0.5,10.03,0,combo,defeats,per win,2024-08-22
3,3,0,0.5,2.7,1.35,combo,win,per win,2024-08-22
6,4,2,0.5,31.0,0.28,combo,defeats,per win,2024-08-22
2,1,1,0.5,9.24,0.37,combo,defeats,per win,2024-08-22
4,3,1,0.54,11.14,0.35,combo,defeats,per win,2024-08-22
4,2,2,0.95,7.31,0.11,combo,defeats,per win,2024-08-22
3,2,1,1.95,4.06,1.49,combo,defeats,per win,2024-08-22
3,2,1,0.5,7.09,0.30,combo,defeats,per win,2024-08-22
3,3,0,0.5,8.13,1.92,combo,win,per win,2024-08-22
4,4,0,0.55,2.23,0,combo,win,per win,2024-08-22
5,4,1,0.7,5.83,0.54,combo,defeats,per win,2024-08-22
4,2,2,0.5,6.49,0.17,combo,defeats,per win,2024-08-22
2,2,0,0.5,0.64,0,combo,win,per win,2024-08-22
2,1,1,0.5,3.99,0.01,combo,defeats,per win,2024-08-22
1,1,0,0.5,0.53,0,unique,win,per win,2024-08-22
9,8,1,0.55,22.68,0,combo,defeats,per win,2024-08-22
3,1,2,1.50,1.88,0,combo,defeats,per win,2024-08-21
6,3,3,1.0,28.71,0,combo,defeats,per win,2024-08-21
11,9,2,1.30,42.18,0,combo,defeats,per win,2024-08-21
11,8,3,1.40,81.00,0,combo,defeats,per win,2024-08-21
2,1,1,1.0,8.5,0,combo,defeats,per win,2024-08-21
8,5,3,2.0,23.02,1.31,combo,defeats,per win,2024-08-21
5,4,1,0.9,22.91,6.44,combo,defeats,per win,2024-08-21
2,2,0,0.5,1.08,0.54,combo,win,per win,2024-08-21
4,1,3,0.5,15.85,0,combo,defeats,per win,2024-08-21
5,3,2,0.5,123.55,0.63,combo,defeats,per win,2024-08-21
4,4,0,1.0,1.22,0,combo,defeats,per win,2024-08-21
5,3,2,0.8,50.27,0,combo,defeats,per win,2024-08-21
4,0,4,1.0,23.97,0,combo,defeats,per win,2024-08-21
5,3,2,0.5,1.45,0,combo,defeats,per win,2024-08-21
4,3,1,0.5,3.34,0,combo,defeats,per win,2024-08-21
2,2,0,0.5,1.72,0,combo,win,per win,2024-08-21
4,3,1,0.5,96.94,0.50,combo,defeats,per win,2024-08-22
2,2,0,1.0,1.37,0,combo,win,per win,2024-08-21
4,2,2,1.0,13.54,0,combo,defeats,per win,2024-08-21
4,3,1,1.0,3.13,0,combo,defeats,per win,2024-08-21
3,1,2,0.5,1.18,0,combo,defeats,per win,2024-08-21
3,2,1,0.5,16.75,0.52,combo,defeats,per win,2024-08-21
2,0,2,0.5,15.43,0,combo,defeats,per win,2024-08-21
4,1,3,1.0,12.28,0,combo,defeats,per win,2024-08-21
8,5,3,1.0,5.25,0,combo,defeats,per win,2024-08-21
2,0,2,1.0,4.73,0,combo,defeats,per win,2024-08-21
2,1,1,1.0,9.60,0,combo,defeats,per win,2024-08-21
2,0,2,0.5,10.53,0,combo,defeats,per win,2024-08-21
2,1,1,0.5,6.72,0,combo,defeats,per goal,2024-08-21
2,0,2,0.5,209.0,0,combo,defeats,per win,2024-08-21
2,1,1,2.0,5.14,0,combo,defeats,per win,2024-08-20
2,0,2,2.0,17.60,0,combo,defeats,per goal,2024-08-20
1,0,1,1.40,3.25,0,unique,defeats,per goal,2024-08-20
2,2,0,0.8,1.74,0,combo,win,per goal,2024-08-20
2,1,1,1.0,4.25,0,combo,defeats,per goal,2024-08-20
2,1,1,1.0,15.22,0,combo,defeats,per goal,2024-08-20
3,1,2,2.5,14.20,0.16,combo,defeats,per win,2024-08-20
2,1,1,0.5,2.72,0,combo,defeats,per win,2024-08-20
2,1,1,0.5,8.84,0,combo,defeats,per win,2024-08-20
2,1,1,0.5,5.5,0,combo,defeats,per win,2024-08-20
3,2,1,0.5,9.45,0,combo,defeats,per win,2024-08-19
2,0,2,0.5,21.0,0,combo,defeats,per win,2024-08-19
1,0,1,0.5,6.5,0,unique,defeats,per win,2024-08-19
2,1,1,0.5,13.65,0,combo,defeats,per win,2024-08-19
1,0,1,0.7,4.75,0,unique,defeats,per win,2024-08-19
1,1,0,0.5,0.78,0,unique,win,per goal,2024-08-19
